*		Jan 13, 2023		Jan 14, 2023						Jan 15, 2023				Legend
		Day 1		Day 2						Day 3				Event Activity
00:00-00:30		Note		GeoGuesser						Midnight snack (1h)	Smash Event - 124			Food
00:30-01:00														Hackathon Event
01:00-01:30										Midnight Snack Cleanup (1:00)				Judging
01:30-02:00														Logistics Related
02:00-02:30				Travel						Sleep				Misc
02:30-03:00														MLH Activity
03:00-03:30														Workshop
03:30-04:00														Organizers
04:00-04:30														@s in the notes indicate the events have been added to run of show
04:30-05:00														
05:00-05:30														
05:30-06:00														
06:00-06:30														
06:30-07:00														
07:00-07:30														
07:30-08:00										Breakfast Setup (7:30 am) - B138				
08:00-08:30										Breakfast (8:00 am - 10:00 am) - B138	Sleeping room CLOSED/Clean up  - M12, M22, M24, M25			
08:30-09:00				Registration Setup (8:30 - 9:00) - Lobby			Breakfast Setup (8:30 am) - B138							
09:00-09:30				Registration (2h) - Lobby 9:00 am - 11:00 am			Breakfast - B138 - 9:00 am - 11:00							
09:30-10:00							Opening Ceremony Setup (9:30) - PGCLL B138				Interview Preparation + Advice Workshop Set-up - ONLINE	 		Event Template (time)
10:00-10:30						Fire Drill Training at 10:00am - OUTSIDE (LOT G)				Breakfast Clean-up (10:00 am)	Interview Preparation + Advice Workshop - ONLINE			
10:30-11:00							Breakfast Clean-up (11:00 am)  - B138							Workshop Setup/Cleanup Template (time)
11:00-11:30				Opening Ceremony - PGCLL B138 11:00 am - 12:00 pm						Lunch Setup (11:00 am) - B138				
11:30-12:00							Group Formation Setup (11:30) - 124			Lunch (2h) - B138 11:30 am - 1:30 pm				Workshop Template
12:00-12:30				Hacking Starts at 12:00 pm							Submissions due at 12:00 pm			
				Group Formation - 124 12:00 pm - 1:30 pm			Picture Booth 							Meal Setup Template (12:00)
							Github Basics and Essentials (M21)	RBC Employer Event - 127						
														McMaster Extra Life Collab
				Lunch Setup (12:00) - B138			Opening ceremony PGCLL Cleanup (.5h) - B138 12:00 - 12:30							
12:30-13:00				Lunch (1.5h)  - B138 12:30-2:00pm			Group Formation - 124 12:00 pm - 1:30 pm							Fun Activity Setup/Cleanup (time)
13:00-13:30										Debriefing of the judges - M21  1:00-1:30	Hacking ends at 1:00 pm			
											Project Expo Setup (1:00 pm) - M21 			
13:30-14:00							Group Formation Cleanup (13:30) - 124			Project Expo - M21  (1:30 pm - 4:00 pm)	Lunch Cleanup (1:30 pm) - B138			
14:00-14:30				Lunch Clean-up (2:00) - B138	Graph QL Workshop w/ HyperCare - 124		Fire Noodle Event (M24)							
14:30-15:00											Closing Ceremony Setup (2:30 pm) 			ROOMS FOR US
15:00-15:30							Sponsor Showcase Setup - M21							M16 - EXECUTIVE STORAGE ROOM 
														B131 - MENTOR ROOM
15:30-16:00							Sponsor Showcase - M21							
16:00-16:30										Judging - M21 (4:00-5:00)				
16:30-17:00				Boardgame Lounge Opening (M16)										
17:00-17:30				Andriod APP w Afzal Najam (127)	JAX Workshop, (ROOM 124)									
17:30-18:00		Pre-hackathon Events (All Online)								Closing Ceremony - PGCLL B138 5:30 pm - 6:30 pm				
18:00-18:30		Meme Contest & Team Matching 												
18:30-19:00				Machine Learning Workshop, create a simple app from scratch (127)	React Workshop, (ROOM 124)									
19:00-19:30		Verbwire Workshop					Dinner Setup (6:30) - B138	Sponsor Showcase Cleanup - M21		Hackathon ends at 7 pm				
19:30-20:00				Dinner (1.5h) - B138 7:30-9:00pm						Closing Ceremony Cleanup				
20:00-20:30		Figma Workshop								Travel Home				
20:30-21:00							Cup Stacking Setup (8:30)							
21:00 -21:30		Linux Workshop		Dinner Cleanup (9:00)  - B138	Submissions for Meme Making Contests Ends (Online)		Cup Stacking - M21							
21:30-22:00		Trivia Night		Sleeping Room Setup (9:30) - M12, M22, M24, M25	Boardgame Lounge closed									
22:00-22:30		GeoGuessr		SLEEPING ROOM OPENS	Smash Event Setup (10:00)		Cup Stacking Cleanup (10:00)							
22:30-23:00				Smash Event - M21										
23:00-23:30														
23:30-24:00							Midnight Snack Setup (11:30)							